Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
209,20.8004,4.85137615,3.400756626,2.937280119
210,20.9004,4.278815806,3.545886586,3.006783691
211,21.0004,4.142537922,3.553857461,3.234210037
212,21.1004,4.090361841,3.18260251,3.797529936
213,21.2004,4.395617179,3.363287686,4.778557686
214,21.3004,4.531252577,3.059699744,3.012775728
215,21.4004,4.45015454,3.802722045,3.530323547
216,21.5004,4.811830642,3.381492846,4.252664213
217,21.6004,4.472225958,3.054895078,4.538272099
218,21.7004,4.539919649,3.433390867,3.214002737
219,21.8004,4.087849196,3.908911842,2.842897472
220,21.9004,4.052847962,4.124509909,3.748513008
221,22.0004,4.305021316,3.322482285,4.568844689
222,22.1004,4.108927812,3.465973808,5.506670896
223,22.2004,4.628807555,2.991240228,5.983739086
224,22.3004,4.343240871,4.062354981,4.515441393
225,22.4004,3.90372988,3.342063516,3.78346048
226,22.5005,4.788432313,2.67061419,4.659460211
227,22.6005,4.542248595,4.02946737,4.02357041
228,22.7005,3.829555811,4.577647277,2.326641773
229,22.8005,4.155362913,4.362943878,2.578476829
230,22.9005,5.164796301,3.215606232,3.182217938
231,23.0005,4.295449294,4.732958463,4.127387843
232,23.1005,4.757898074,4.576188126,2.723728396
233,23.2005,3.755753907,4.550728509,3.008978176
234,23.3005,4.374973173,3.355812442,2.761660214
235,23.4005,4.54274861,4.353653817,2.307287531
236,23.5005,4.248533314,3.719322732,2.633287781
237,23.6005,3.972069952,4.475969445,3.776192872
238,23.7005,5.522129346,4.439231162,3.559839886
239,23.8005,4.965196017,3.881295511,4.58711021
240,23.9005,4.371152885,3.498612271,2.891085461
241,24.0005,3.761323351,3.852221265,2.848111125
242,24.1005,4.886617921,3.73334997,3.022759845
243,24.2005,4.492695544,3.883049104,3.141950078
244,24.3005,4.091006002,4.188372938,3.230893925
245,24.4005,4.242684851,3.583231284,3.629445765
246,24.5005,4.429052411,3.709415642,3.117045455
247,24.6005,4.050701708,3.928250448,2.885622414
248,24.7005,4.193286388,4.298882608,2.560226775
249,24.8005,4.096837262,4.034348816,2.735877034
250,24.9005,4.315956487,4.200823738,3.537897207
251,25.0005,5.242634499,4.627573134,3.617387949
252,25.1005,4.660580203,3.512535402,3.253228335
